filename,sample_name
dataScaleSize_Slide1_edited_Tile1.csv,Stanford_MIBI_LymphNode_1
dataScaleSize_Slide1_edited_Tile2.csv,Stanford_MIBI_LymphNode_1
dataScaleSize_Slide1_edited_Tile3.csv,Stanford_MIBI_LymphNode_1
dataScaleSize_Slide1_edited_Tile4.csv,Stanford_MIBI_LymphNode_1
dataScaleSize_Slide2_edited_Tile1.csv,Stanford_MIBI_LymphNode_2
dataScaleSize_Slide2_edited_Tile2.csv,Stanford_MIBI_LymphNode_2
dataScaleSize_Slide2_edited_Tile3.csv,Stanford_MIBI_LymphNode_2
dataScaleSize_Slide2_edited_Tile4.csv,Stanford_MIBI_LymphNode_2
dataScaleSize_Slide24_edited_Tile1.csv,Stanford_MIBI_LymphNode_24
dataScaleSize_Slide24_edited_Tile2.csv,Stanford_MIBI_LymphNode_24
dataScaleSize_Slide24_edited_Tile3.csv,Stanford_MIBI_LymphNode_24
dataScaleSize_Slide24_edited_Tile4.csv,Stanford_MIBI_LymphNode_24
dataScaleSize_Slide3_edited_Tile1.csv,Stanford_MIBI_LymphNode_3
dataScaleSize_Slide3_edited_Tile2.csv,Stanford_MIBI_LymphNode_3
dataScaleSize_Slide3_edited_Tile3.csv,Stanford_MIBI_LymphNode_3
dataScaleSize_Slide3_edited_Tile4.csv,Stanford_MIBI_LymphNode_3
